"Id","Name","Lat","Lng","Rating","Nb_Rating","Type","Price_level"
"ChIJzY35q9pt5kcRdiR4UEogZTg","Avenue Jean Jaurès","48.8854089","2.3803609",NA,NA,"route",NA
"ChIJOx4mU8Vt5kcR80dyr8P_N9M","L'Arôme Antique","48.8851658","2.3805748","4.9","10","food point_of_interest store establishment",NA
"ChIJY1OFutpt5kcRFend2Gs5sGo","Digitalimage","48.8851161","2.3799189","4.3","45","point_of_interest establishment",NA
"ChIJmbWYrdpt5kcRImTCdQPo6s0","Poissonnerie Vent et Marée","48.884933","2.380324","4.1","43","food point_of_interest store establishment",NA
"ChIJbaLFU8Vt5kcRJ-rhop037Po","Boucherie Durand","48.8851664","2.3808176","4.8","20","food point_of_interest store establishment",NA
"ChIJZ73wrdpt5kcRwKsDafCDRws","Muki Sushi","48.8850229","2.3803983","3.7","98","restaurant food point_of_interest establishment",NA
"ChIJ__9WrNpt5kcRAVK_pDF0DTw","School Of Driving Ser Jaurès Driving School","48.8852712","2.3804013","4.9","88","point_of_interest establishment",NA
"ChIJfcsQr9pt5kcRD1m6oWZ751Q","Coupé Coiffé","48.8852341","2.3801766","3","4","hair_care point_of_interest establishment",NA
"ChIJuV0Rr9pt5kcR5zsskJFA6wE","Pharmacie des 2 rues well&well","48.8852069","2.3800436","4.6","12","pharmacy health point_of_interest store establishment",NA
"ChIJOx4mU8Vt5kcRTtYRVsyoPTc","Art'dente","48.8848576","2.3805278",NA,NA,"point_of_interest establishment",NA
"ChIJXbjeWdpt5kcRRu_58i62HXQ","resto","48.8849458","2.3801555","3.3","3","restaurant food point_of_interest establishment",NA
"ChIJ7ZALU8Vt5kcRXpq1Nc237Xw","PHO 19","48.8852285","2.38078","3.9","153","restaurant food point_of_interest establishment",NA
"ChIJMXVeUsVt5kcRsRThRLkGv10","Rotisserie du Nord","48.8851518","2.3808159",NA,NA,"food point_of_interest store establishment",NA
"ChIJMXVeUsVt5kcR3ZoHgQEaXMU","Olivier Cholet - Ostéopathe","48.8851518","2.3808159","5","29","health point_of_interest establishment",NA
"ChIJP-5PTMVt5kcRAsbZEywDb-A","Kite Clarokessi Le","48.8849149","2.3807906",NA,NA,"point_of_interest establishment",NA
"ChIJ74LPTMVt5kcRi3kOXKfFp8U","CFI CONSULTANTS","48.884803","2.3805771",NA,NA,"real_estate_agency point_of_interest establishment",NA
"ChIJG4bTsNpt5kcRNv6kksjLpeo","Carrefour Express","48.8847759","2.3799873","3.1","46","supermarket bakery grocery_or_supermarket restaurant food point_of_interest store establishment",NA
"ChIJn6FNs9pt5kcR_HDDuMYamHQ","Dounya Contacts","48.884803","2.3805771",NA,NA,"point_of_interest establishment",NA
"ChIJy0_Bttpt5kcRlZRYv0tXvP4","Nassim Dj","48.8847783","2.3801079",NA,NA,"point_of_interest establishment",NA
"ChIJD7fiBh9u5kcRYJSMaMOCCwQ","Paris","48.856614","2.3522219",NA,NA,"locality political",NA
"ChIJmbWYrdpt5kcRio92MRtxyYQ","Picard","48.8850229","2.3803983","4.4","45","food point_of_interest store establishment",NA
"ChIJE_GLUcVt5kcRh0H5Q2ZY6zM","Sivakumar Selladurai","48.8851664","2.3808176","4","2","point_of_interest establishment",NA
"ChIJmbWYrdpt5kcRq5JZSYgjtnw","Bizet Khadi","48.8850753","2.3803579","3.9","16","doctor health point_of_interest establishment",NA
"ChIJfwbKrdpt5kcRITpOVbv0P0k","G.J Disco Alimentation","48.8852171","2.3803587",NA,NA,"point_of_interest establishment",NA
"ChIJx6LKrdpt5kcRM_PNcPdQe6c","Le Panier Garnie","48.8852303","2.3803586","3","6","point_of_interest establishment",NA
"ChIJ8RBRrNpt5kcRXpft5YrJ8ZU","L'estive Café","48.8852602","2.3804222","3.7","35","cafe food point_of_interest establishment","1"
"ChIJe3u_r9pt5kcRe1SbUhh3Pd4","Massinissa","48.8852627","2.3804408",NA,NA,"bar point_of_interest establishment",NA
"ChIJ6eLirdpt5kcRCR2C72CVqM0","Nicolas Jaurès","48.8852019","2.3801868","3","13","liquor_store food point_of_interest store establishment","2"
"ChIJraAoU8Vt5kcRK9hdT6fkrmE","Daskalidès","48.8851415","2.3806121","2.5","2","food point_of_interest establishment",NA
"ChIJW5hfrtpt5kcRxMTzhJr-9kA","french chinese christian salvation church","48.8852341","2.3801767",NA,NA,"church place_of_worship point_of_interest establishment",NA
"ChIJh_PSUsVt5kcRB3mj6b6jx00","Traitbur Asiatique","48.8851956","2.3806317",NA,NA,"point_of_interest establishment",NA
"ChIJOx4mU8Vt5kcRy1eif5fnYiA","Au Chalet du Bonheur","48.8849331","2.3803243","4.1","19","restaurant food point_of_interest establishment",NA
"ChIJfT2lr9pt5kcRxt4KQAaLAFE","Jps Pantin","48.8852069","2.3800436",NA,NA,"point_of_interest establishment",NA
"ChIJzQakr9pt5kcRqIrOywZreEA","Werstern Coiffure","48.8852069","2.3800436","4.4","19","hair_care point_of_interest establishment",NA
"ChIJ6W5osdpt5kcRg1rwJatWBfM","Aux Délices Oceane","48.8849642","2.3801189","4.4","90","bakery food point_of_interest store establishment","2"
"ChIJzTvo4Att5kcRRpLu08qx0wc","Chaponiais","48.8853415","2.3806215",NA,NA,"point_of_interest establishment",NA
"ChIJMXVeUsVt5kcRzRpIK4K8wZY","L'atelier du sultan","48.8851518","2.3808159","4.3","19","restaurant food point_of_interest establishment",NA
"ChIJAQBcUsVt5kcRIXNXQa4EbgA","Joly Telecom","48.8851664","2.3808176","2.9","10","point_of_interest establishment",NA
"ChIJmbWYrdpt5kcR79Q1XKY_gD0","Sci la Minoterie","48.8848576","2.3805278",NA,NA,"general_contractor point_of_interest establishment",NA
"ChIJmbWYrdpt5kcRfdD0CnP-t4Q","Bizet Dominique","48.8848576","2.3805278","4.2","17","doctor health point_of_interest establishment",NA
"ChIJmbWYrdpt5kcR-WJkMMCCklM","La Colinerie","48.8848576","2.3805278",NA,NA,"point_of_interest establishment",NA
"ChIJvWtbU8Vt5kcRm9dKmo3Wb7k","Fruits Et Legumes En Libre Choix","48.8853518","2.3806966","3.9","7","food point_of_interest store establishment",NA
"ChIJh1w2OFNt5kcRiWMIEAbEzA8","Cabinet d'orthopédie","48.885176","2.3799163",NA,NA,"doctor health point_of_interest establishment",NA
"ChIJq6r7s9pt5kcRV6CiUPYyI_o","Cetim Courses","48.884794","2.3802695",NA,NA,"point_of_interest establishment",NA
"ChIJCzFbs9pt5kcR9OhNSMmzN-Q","Formations-Ameublement","48.8847969","2.3805302",NA,NA,"point_of_interest establishment",NA
"ChIJCzFbs9pt5kcRcpOZM_g9eXc","Sessad P.a.i.","48.8847969","2.3805302",NA,NA,"point_of_interest establishment",NA
"ChIJn6FNs9pt5kcRnDbPLe6icwk","Shaldi services","48.884803","2.3805771",NA,NA,"food point_of_interest store establishment",NA
"ChIJn6FNs9pt5kcRCuv1hV_ATyc","Soudurex","48.884803","2.3805771",NA,NA,"point_of_interest establishment",NA
"ChIJt3zbwvFt5kcRila84LSBSfg","Le Panier d'à côté","48.8847767","2.380196","5","6","food point_of_interest store establishment",NA
"ChIJs5xTsdpt5kcRKGJ0QFWErZU","M.z.a.f.","48.8847767","2.380196",NA,NA,"point_of_interest establishment",NA
"ChIJ0-SLUcVt5kcRGqswZLCLtdU","S.p.s","48.8851702","2.3809604","3","3","point_of_interest store establishment",NA
"ChIJA68xo9pt5kcRhoxTBD84veo","AFB","48.8851205","2.3797813",NA,NA,"moving_company point_of_interest establishment",NA
"ChIJMSkwpdpt5kcRP3VX1U7FWWg","Shiva","48.885121","2.379781","4.3","7","point_of_interest establishment",NA
"ChIJM2F_5BFt5kcRqJv1Zejd4MQ","Home Match","48.8849788","2.3809286","5","4","real_estate_agency point_of_interest establishment",NA
"ChIJhWmGXRtt5kcRDdu46rD9iI0","Paris","48.8849788","2.3809286",NA,NA,"accounting finance point_of_interest establishment",NA
"ChIJE_GLUcVt5kcRx0540OPaEuE","La Ferme de Chloé","48.88517","2.380983","4.5","76","food point_of_interest store establishment","2"
"ChIJxVXPuERt5kcRtHZhansyk0w","Yannick André - Psychologue & Psychothérapeute","48.8847694","2.3801097",NA,NA,"health point_of_interest establishment",NA
"ChIJW2m3qNpt5kcRiTAeMH7ADrE","Pizza Capri","48.885529","2.38007","4.1","101","meal_takeaway restaurant food point_of_interest establishment",NA
"ChIJTUe2sNpt5kcROhkEJ9qW3mk","Mabire Halima","48.8847815","2.3800364","5","1","point_of_interest store establishment",NA
"ChIJJyThutpt5kcRXx0_owxMkIQ","Optique Laumière","48.8849883","2.3797702","4.8","15","health point_of_interest store establishment",NA
