"Id","Name","Lat","Lng","Rating","Nb_Rating","Type"
"ChIJ78MxndZt5kcR35tT7jsjDS4","26-34 Rue Archereau","48.8908012","2.3733848",NA,NA,"route"
"ChIJR-sDh9Zt5kcRl8qnMZiYdI0","Mekhmoukhen Karim","48.8906683","2.3727911",NA,NA,"point_of_interest establishment"
"ChIJGflwhtZt5kcRM7YaTq1z7yU","VILLA JEAN-JACQUES ROUSSEAU","48.8903774","2.3729308",NA,NA,"point_of_interest establishment"
"ChIJY2QwNEZu5kcROfaQSwMibhk","Tiwi lab","48.8912383","2.3734139","5","3","point_of_interest establishment"
"ChIJb39QL9Rt5kcR7EXV7wqqHiw","Ocean Sushi","48.8912383","2.3734139","4","52","restaurant food point_of_interest establishment"
"ChIJccI6g9Zt5kcR4FiTAZjnjJw","Sarl Sofimed Robert","48.8906384","2.3733751",NA,NA,"point_of_interest establishment"
"ChIJ_7AcndZt5kcR3Nj1BVEp-yc","Liebart Simon","48.8907579","2.3735178",NA,NA,"physiotherapist health point_of_interest establishment"
"ChIJ_7AcndZt5kcRIkG0LuKXl7I","Attlan Jean Luc","48.8907579","2.3735178",NA,NA,"point_of_interest establishment"
"ChIJV9MAndZt5kcR2Ic_W1az3Rs","Besnard Philippe","48.8907579","2.3735178","5","6","physiotherapist health point_of_interest establishment"
"ChIJ_-lbgdZt5kcRrXErsb0O0nk","Prima Conseil","48.890636","2.3729585",NA,NA,"point_of_interest establishment"
"ChIJ_-lbgdZt5kcR15JL-niUt54","Oximmo Gt","48.890636","2.3729585",NA,NA,"point_of_interest establishment"
"ChIJWTGrKdRt5kcRELMnJP3Spes","Berrebi Paul","48.8910785","2.3730968","4.2","11","doctor health point_of_interest establishment"
"ChIJ_XuAWcxt5kcRIN0DBRNRINw","Chez Ben Zigna","48.8910936","2.3730759",NA,NA,"restaurant food point_of_interest establishment"
"ChIJc85Tjiht5kcR5RFYO-PJpfg","express home","48.8908741","2.3736561",NA,NA,"home_goods_store point_of_interest store establishment"
"ChIJb-8HntZt5kcRljP1cEGp0-w","Kelly Ellie","48.8908741","2.3736561",NA,NA,"point_of_interest establishment"
"ChIJazosIdRt5kcRnUkR4EuR0Wg","Bouraoud Houblon Nadia","48.8908741","2.3736561",NA,NA,"health point_of_interest establishment"
"ChIJd2GJua5t5kcR_zneoHO7R-k","Foot Paris","48.8904693","2.3731397","5","1","school point_of_interest establishment"
"ChIJvY31nkht5kcRt7eUgw-CYcA","Nicomtouillet","48.8911437","2.3734562",NA,NA,"point_of_interest establishment"
"ChIJR-sDh9Zt5kcRbsI3hirXke0","Tripotin Xiaonan","48.8904839","2.3727611",NA,NA,"point_of_interest establishment"
"ChIJD7fiBh9u5kcRYJSMaMOCCwQ","Paris","48.856614","2.3522219",NA,NA,"locality political"
"ChIJPQdAh9Zt5kcRDmEK6j0H4GY","Yad Capital","48.8905097","2.3727096",NA,NA,"point_of_interest establishment"
"ChIJPQdAh9Zt5kcRgEceSbd-Pbc","Optimise Elec","48.8905097","2.3727096",NA,NA,"point_of_interest establishment"
"ChIJu5whx2Zt5kcRHxQN9OonZk0","Assistance W.R. 19","48.8904771","2.3727367",NA,NA,"point_of_interest establishment"
"ChIJy0PYXZxt5kcRCAireuNeX0Y","Coliving France","48.8903774","2.3729308","5","1","real_estate_agency point_of_interest establishment"
"ChIJM7WYt9ht5kcRgSHSqp69ZUc","Bail Mobilité - Lewisbnb","48.8903774","2.3729308","4.9","17","point_of_interest establishment"
"ChIJGflwhtZt5kcR9s5ttS5yKds","Yishu Production","48.8903774","2.3729308",NA,NA,"point_of_interest establishment"
"ChIJGflwhtZt5kcROsclCN0mwE0","Oswborn System","48.8903774","2.3729308",NA,NA,"point_of_interest establishment"
"ChIJEUm4RVht5kcRJh-vpVKxS2E","Pixeliseo Studio","48.8903774","2.3729308","5","11","point_of_interest establishment"
"ChIJ89aOlo9t5kcRRPsHuJXMQr0","Dossier Bancaire","48.8903774","2.3729308",NA,NA,"finance point_of_interest establishment"
"ChIJJQ3zuNZt5kcRO9jmQJdglcw","Swap Map","48.8903774","2.3729308","3.6","7","point_of_interest establishment"
"ChIJR-sDh9Zt5kcRKgVP5oqp2Mc","Mindscape","48.8904458","2.3727319",NA,NA,"point_of_interest establishment"
